carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,highwaympg,price
convertible,rwd,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,27,13495
convertible,rwd,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,27,16500
hatchback,rwd,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,26,16500
sedan,fwd,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,30,13950
sedan,4wd,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,22,17450
sedan,fwd,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,25,15250
sedan,fwd,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,25,17710
wagon,fwd,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,25,18920
sedan,fwd,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,20,23875
hatchback,4wd,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,22,17859.167
sedan,rwd,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,29,16430
sedan,rwd,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,29,16925
sedan,rwd,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,28,20970
sedan,rwd,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,28,21105
sedan,rwd,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,25,24565
sedan,rwd,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,22,30760
sedan,rwd,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,22,41315
sedan,rwd,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,20,36880
hatchback,fwd,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,53,5151
hatchback,fwd,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,43,6295
sedan,fwd,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,43,6575
hatchback,fwd,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,41,5572
hatchback,fwd,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,38,6377
hatchback,fwd,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,30,7957
hatchback,fwd,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,38,6229
sedan,fwd,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,38,6692
sedan,fwd,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,38,7609
sedan,fwd,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,30,8558
wagon,fwd,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,30,8921
hatchback,fwd,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,24,12964
hatchback,fwd,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,54,6479
hatchback,fwd,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,38,6855
hatchback,fwd,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,42,5399
hatchback,fwd,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,34,6529
hatchback,fwd,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,34,7129
sedan,fwd,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,34,7295
wagon,fwd,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,34,7295
hatchback,fwd,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,33,7895
hatchback,fwd,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,33,9095
sedan,fwd,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,33,8845
sedan,fwd,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,33,10295
sedan,fwd,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,28,12945
